OBJECTID,DevEUI,Temperature,Humidity,VDD,Distance,Pressure,Timestamp
12252,a81758fffe059fdc,6.5,47,3615,5000,1026.907,2021/05/29 07:33:12.059+00
12253,a81758fffe03e451,9.9,76,3606,2680,,2021/05/29 07:34:03.454+00
12254,a81758fffe03e451,9.9,76,3603,2679,,2021/05/29 07:44:03.432+00
12255,a81758fffe037506,24.3,43,,,,2021/05/29 07:46:10.027+00
12256,a81758fffe059fdc,6.5,47,3615,5000,1026.922,2021/05/29 07:48:12.034+00
12257,a81758fffe037506,24.3,43,,,,2021/05/29 08:01:09.965+00
12258,a81758fffe059fdc,6.5,47,3615,5000,1027.019,2021/05/29 08:03:12.013+00
12259,a81758fffe03e451,9.9,76,3603,2680,,2021/05/29 08:04:03.389+00
12260,a81758fffe03e451,9.8,76,3606,2681,,2021/05/29 08:14:03.363+00
12261,a81758fffe037506,24.3,43,,,,2021/05/29 08:16:09.901+00
12262,a81758fffe059fdc,6.5,47,3615,5000,1027.2,2021/05/29 08:18:11.988+00
12263,a81758fffe03e451,9.8,77,3606,2678,,2021/05/29 08:24:03.328+00
12264,a81758fffe037506,24.2,43,,,,2021/05/29 08:31:09.842+00
12265,a81758fffe059fdc,6.4,47,3615,5000,1027.275,2021/05/29 08:33:11.968+00
12266,a81758fffe03e451,9.7,77,3603,2678,,2021/05/29 08:34:03.300+00
12267,a81758fffe03e451,9.7,77,3603,2682,,2021/05/29 08:44:03.227+00
12268,a81758fffe037506,24.2,43,,,,2021/05/29 08:46:09.780+00
12269,a81758fffe059fdc,6.3,47,3615,5000,1027.294,2021/05/29 08:48:11.957+00
12270,a81758fffe03e451,9.7,77,3606,2682,,2021/05/29 08:54:03.206+00
12271,a81758fffe059fdc,6.1,47,3613,5000,1027.473,2021/05/29 09:03:11.924+00
12272,a81758fffe03e451,9.7,77,3606,2679,,2021/05/29 09:04:03.201+00
12273,a81758fffe03e451,9.7,77,3603,2681,,2021/05/29 09:14:03.144+00
12274,a81758fffe037506,24.1,43,,,,2021/05/29 09:16:09.670+00
12275,a81758fffe059fdc,6.3,47,3613,5000,1027.68,2021/05/29 09:18:11.898+00
12276,a81758fffe03e451,9.7,77,3603,2678,,2021/05/29 09:24:03.127+00
12277,a81758fffe03e451,9.7,77,3606,2680,,2021/05/29 09:44:03.045+00
12278,a81758fffe037506,24.1,43,,,,2021/05/29 09:46:09.547+00
12279,a81758fffe059fdc,6.1,47,3613,5000,1028.041,2021/05/29 09:48:11.860+00
12280,a81758fffe03e451,9.7,77,3603,2679,,2021/05/29 09:54:03.018+00
12281,a81758fffe059fdc,6.3,47,3613,5000,1028.217,2021/05/29 10:03:11.832+00
12282,a81758fffe03e451,9.7,77,3603,2683,,2021/05/29 10:04:02.982+00
12283,a81758fffe03e451,9.7,77,3603,2682,,2021/05/29 10:14:02.938+00
12284,a81758fffe037506,24,43,,,,2021/05/29 10:16:09.426+00
12285,a81758fffe059fdc,6.7,47,3613,5000,1028.437,2021/05/29 10:18:11.818+00
12286,a81758fffe03e451,9.7,77,3603,2682,,2021/05/29 10:24:02.887+00
12287,a81758fffe037506,24,43,,,,2021/05/29 10:31:09.361+00
12288,a81758fffe059fdc,7,47,3613,5000,1028.491,2021/05/29 10:33:11.794+00
12289,a81758fffe03e451,9.7,77,3606,2680,,2021/05/29 10:34:02.922+00
12290,a81758fffe03e451,9.9,77,3603,2680,,2021/05/29 10:44:02.833+00
12291,a81758fffe037506,24,43,,,,2021/05/29 10:46:09.310+00
12292,a81758fffe059fdc,7.1,47,3613,5000,1028.595,2021/05/29 10:48:11.769+00
12293,a81758fffe03e451,9.9,77,3606,2681,,2021/05/29 10:54:02.803+00
12294,a81758fffe059fdc,7.6,47,3613,5000,1028.796,2021/05/29 11:03:11.776+00
12295,a81758fffe03e451,9.9,77,3606,2676,,2021/05/29 11:04:02.801+00
12296,a81758fffe03e451,10,77,3603,2682,,2021/05/29 11:14:02.719+00
12297,a81758fffe059fdc,8,47,3613,5000,1028.823,2021/05/29 11:18:11.717+00
12298,a81758fffe03e451,10.2,77,3603,2681,,2021/05/29 11:24:02.719+00
12299,a81758fffe037506,23.9,43,,,,2021/05/29 11:31:09.121+00
12300,a81758fffe059fdc,8.9,46,3613,5000,1028.876,2021/05/29 11:33:11.702+00
12301,a81758fffe03e451,10.3,77,3606,2679,,2021/05/29 11:34:02.667+00
12302,a81758fffe03e451,10.5,76,3606,2680,,2021/05/29 11:44:02.594+00
12303,a81758fffe037506,23.9,43,,,,2021/05/29 11:46:09.079+00
12304,a81758fffe059fdc,9.7,46,3615,5000,1029.166,2021/05/29 11:48:11.671+00
12305,a81758fffe03e451,10.7,76,3603,2680,,2021/05/29 11:54:02.586+00
12306,a81758fffe037506,23.9,43,,,,2021/05/29 12:01:09.006+00
12307,a81758fffe059fdc,9.9,46,3613,5000,1029.079,2021/05/29 12:03:11.645+00
12308,a81758fffe03e451,10.8,76,3606,2682,,2021/05/29 12:04:02.600+00
12309,a81758fffe037506,23.9,43,,,,2021/05/29 12:16:08.949+00
12310,a81758fffe059fdc,10.3,46,3613,5000,1029.088,2021/05/29 12:18:11.612+00
12311,a81758fffe03e451,11.1,76,3606,2679,,2021/05/29 12:24:02.487+00
12312,a81758fffe037506,23.8,43,,,,2021/05/29 12:31:08.885+00
12313,a81758fffe059fdc,10.8,45,3615,5000,1029.136,2021/05/29 12:33:11.603+00
12314,a81758fffe03e451,11.2,76,3606,2684,,2021/05/29 12:34:02.467+00
12315,a81758fffe03e451,11.4,75,3609,2682,,2021/05/29 12:44:02.418+00
12316,a81758fffe037506,23.8,43,,,,2021/05/29 12:46:08.820+00
12317,a81758fffe059fdc,11.2,45,3613,5000,1029.179,2021/05/29 12:48:11.559+00
12318,a81758fffe03e451,11.5,75,3609,2687,,2021/05/29 12:54:02.387+00
12319,a81758fffe037506,23.8,43,,,,2021/05/29 13:01:08.772+00
12320,a81758fffe059fdc,12.9,44,3615,5000,1029.354,2021/05/29 13:03:11.539+00
12321,a81758fffe03e451,11.9,75,3606,2684,,2021/05/29 13:04:02.336+00
12322,a81758fffe03e451,12.2,74,3609,2683,,2021/05/29 13:14:02.307+00
12323,a81758fffe037506,23.7,43,,,,2021/05/29 13:16:08.708+00
12324,a81758fffe059fdc,13.9,43,3615,5000,1029.18,2021/05/29 13:18:11.505+00
12325,a81758fffe03e451,12.4,74,3606,2687,,2021/05/29 13:24:02.280+00
12326,a81758fffe037506,23.7,43,,,,2021/05/29 13:31:08.644+00
12327,a81758fffe059fdc,13.8,43,3618,5000,1029.375,2021/05/29 13:33:11.479+00
12328,a81758fffe03e451,12.5,74,3606,2686,,2021/05/29 13:34:02.261+00
12329,a81758fffe037506,23.7,43,,,,2021/05/29 13:46:08.583+00
12330,a81758fffe059fdc,14.8,42,3618,5000,1029.668,2021/05/29 13:48:11.447+00
12331,a81758fffe03e451,12.9,74,3609,2686,,2021/05/29 13:54:02.168+00
12332,a81758fffe037506,23.7,43,,,,2021/05/29 14:01:08.523+00
12333,a81758fffe059fdc,16.4,41,3618,5000,1029.961,2021/05/29 14:03:11.417+00
12334,a81758fffe03e451,13.5,73,3609,2682,,2021/05/29 14:14:02.079+00
12335,a81758fffe059fdc,17.1,41,3620,5000,1029.969,2021/05/29 14:18:11.383+00
12336,a81758fffe03e451,14,72,3609,2689,,2021/05/29 14:24:02.039+00
12337,a81758fffe037506,23.7,43,,,,2021/05/29 14:31:08.410+00
12338,a81758fffe059fdc,18.1,40,3620,5000,1029.964,2021/05/29 14:33:11.357+00
12339,a81758fffe03e451,14.4,72,3609,2691,,2021/05/29 14:34:02.021+00
12340,a81758fffe03e451,14.8,71,3609,2691,,2021/05/29 14:44:01.980+00
12341,a81758fffe037506,23.6,43,,,,2021/05/29 14:46:08.350+00
12342,a81758fffe059fdc,19.6,39,3623,5000,1030.096,2021/05/29 14:48:11.318+00
12343,a81758fffe03e451,15,71,3609,2691,,2021/05/29 14:54:01.931+00
12344,a81758fffe059fdc,20.8,38,3620,5000,1029.919,2021/05/29 15:03:11.281+00
12345,a81758fffe03e451,15.3,71,3609,2694,,2021/05/29 15:14:01.879+00
12346,a81758fffe059fdc,21.7,38,3626,5000,1029.922,2021/05/29 15:18:11.256+00
